society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
B387,Netsilik,xd1060,nets1241,Natsilingmiutut,Eskimo-Aleut,B008,0.0025,,1880,,
B374,Caribou Inuit,xd1038,cari1277,Kivalliq,Eskimo-Aleut,B008,0.003,,1900,,
B352,Hare,xd1009,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,B008,0.0033,,1860,,
B383,Aivilingmiut Inuit,xd1024,cari1277,Kivalliq,Eskimo-Aleut,B008,0.0033,,1880,,
B382,Utkuhikhalingmiut,xd1023,nets1241,Natsilingmiutut,Eskimo-Aleut,B008,0.0038,,1920,,
B118,Ngatatjara,xd965,ngaa1240,Ngaanyatjarra,Pama-Nyungan,B008,0.004,,1968,,
B342,Montagnais,xd1048,mont1268,Montagnais,Algic,B008,0.0041,,1880,,
B390,Inughuit (Northern Greenland),xd1031,pola1254,Polar Eskimo,Eskimo-Aleut,B008,0.0041,,1880,,
B340,Waswanipi Cree,xd1005,sout2978,Southern East Cree,Algic,B008,0.0042,,1900,,
B365,Naskapi,xd1063,nask1242,Naskapi,Algic,B008,0.0042,,1890,,
B381,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,B008,0.0043,,1920,,
B112,Ildawongga,xd959,wanm1242,Wanman,Pama-Nyungan,B008,0.0045,,1968,,
B27,Nganasan,xd620,ngan1291,Nganasan,Uralic,B008,0.0046,,1933,,
B355,Dene,xd1046,chip1261,Chipewyan,Athabaskan-Eyak-Tlingit,B008,0.0046,,1880,,
B127,Ooldea,xd972,anta1253,Antakarinya,Pama-Nyungan,B008,0.0047,,1941,,
B240,Lipan Apache,xd1275,lipa1241,Lipan Apache,Athabaskan-Eyak-Tlingit,B008,0.0051,,1880,,
B341,Wegamon Ojibwa,xd1006,seve1241,Severn River Ojibwa,Algic,B008,0.0051,,1890,,
B344,Beaver,xd1045,beav1236,Beaver,Athabaskan-Eyak-Tlingit,B008,0.0051,,1850,,
B384,Iglulik Inuit,xd1025,west2618,Western Canadian Inuktitut,Eskimo-Aleut,B008,0.0054,,1920,,
B358,Délįne,xd1033,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,B008,0.0055,,1860,,
B338,Mistissini Cree,xd1062,sout2978,Southern East Cree,Algic,B008,0.0058,,1880,,
B120,Pitjandjara,xd967,pitj1243,Pitjantjatjara,Pama-Nyungan,B008,0.006,,1968,,
B26,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,B008,0.0061,,1900,,
B77,/'Auni-Khomani,xd935,nuuu1241,N/u,Tuu,B008,0.0064,,1920,,
B111,Mardudjara,xd958,mart1256,Martu Wangka,Pama-Nyungan,B008,0.0075,,1960,,
B359,Nabesna,xd1026,uppe1437,Upper Tanana,Athabaskan-Eyak-Tlingit,B008,0.0077,,1930,,
B350,Mountain Dene,xd1007,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,B008,0.0078,,1800,,
B343,Sekani,xd1044,seka1250,Sekani,Athabaskan-Eyak-Tlingit,B008,0.0082,,1880,,
B126,Nakako,xd971,pitj1243,Pitjantjatjara,Pama-Nyungan,B008,0.0087,,1912,,
B337,Nipigon,xd1051,cent2136,Central Ojibwa,Algic,B008,0.0087,,1800,,
B361,Tlicho,xd1032,dogr1252,Dogrib,Athabaskan-Eyak-Tlingit,B008,0.0088,,1860,,
B346,Kaska,xd1056,kask1239,Kaska,Athabaskan-Eyak-Tlingit,B008,0.009,,1920,,
B360,Waskaganish,xd1011,sout2978,Southern East Cree,Algic,B008,0.009,,1900,,
B363,Tutchone,xd1012,nort2941,Northern Tutchone,Athabaskan-Eyak-Tlingit,B008,0.0093,,1890,,
B377,Nunamiut,xd1029,nort2944,North Slope Inupiatun,Eskimo-Aleut,B008,0.0096,,1950,,
B123,Jankundjara,xd969,yank1247,Yankunytjatjara,Pama-Nyungan,B008,0.01,,1922,,
B345,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,B008,0.01,,1860,,
B76,!Ko,xd934,huaa1248,East Taa,Tuu,B008,0.0103,,1968,,
B229,Bohogue,xd1180,nort2955,Northern Shoshoni,Uto-Aztecan,B008,0.0104,,1860,,
B122,Southern Aranda,xd968,lowe1436,Lower Southern Aranda,Pama-Nyungan,B008,0.011,,1870,,
B354,Koyukon,xd1010,koyu1237,Koyukon,Athabaskan-Eyak-Tlingit,B008,0.011,,1880,,
B223,Bear Creek Northern Paiute,xd994,nort1551,North Northern Paiute,Uto-Aztecan,B008,0.0111,,1870,,
B109,Walbiri,xd773,warl1254,Warlpiri,Pama-Nyungan,B008,0.0116,,1965,,
B242,Chiricahua,xd1259,mesc1238,Mescalero-Chiricahua Apache,Athabaskan-Eyak-Tlingit,B008,0.0116,,1880,,
B347,Tahltan,xd1043,tahl1239,Tahltan,Athabaskan-Eyak-Tlingit,B008,0.0116,,1870,,
B332,Northern Saulteaux,xd1049,alba1270,Albany River Ojibwa,Algic,B008,0.012,,1870,,
B117,Alyawara,xd964,alya1239,Alyawarr,Pama-Nyungan,B008,0.0121,,1965,,
B331,Rainy River Ojibwe,xd1053,rain1239,Rainy River Ojibwa,Algic,B008,0.0121,,1880,,
B231,Wadadokado,xd1155,nort1551,North Northern Paiute,Uto-Aztecan,B008,0.0124,,1870,,
B192,Tümpisa Shoshone (Death Valley),xd1166,pana1305,Panamint,Uto-Aztecan,B008,0.0128,,1860,,
B224,Antelope Valley Shoshoni,xd995,west2622,Western Shoshoni,Uto-Aztecan,B008,0.0134,,1860,,Note Binford (2001) gives density as 0.0113 persons per km2
B243,Kiowa,xd1216,kiow1266,Kiowa,Kiowa-Tanoan,B008,0.014,,1870,,
B339,North Albany Ojibwa,xd1004,wini1244,Winisk River Ojibwa,Algic,B008,0.0143,,1850,,
B353,Attawapiskat Cree,xd1065,swam1239,Swampy Cree,Algic,B008,0.0143,,1900,,
B196,Yavapai,xd1203,yava1252,Yavapai,Cochimi-Yuman,B008,0.0148,,1870,,
B113,Pintubi,xd960,pint1250,Pintupi-Luritja,Pama-Nyungan,B008,0.015,,1936,,
B320,Coeur d’Alene,xd1146,coeu1236,Coeur d'Alene,Salishan,B008,0.015,,1860,,
B326,Kalispel,xd1145,kali1309,Kalispel,Salishan,B008,0.015,,1870,,
B330,Bitterroot Salish,xd1144,kali1309,Kalispel,Salishan,B008,0.015,,1860,,
B364,Holikachuk,xd1013,holi1241,Holikachuk,Athabaskan-Eyak-Tlingit,B008,0.0152,,1860,,
B71,Sekele,xd931,vase1234,Northern Ju,Kxa,B008,0.0152,,1928,,
B227,Wind River Eastern Shoshone,xd1201,nort2955,Northern Shoshoni,Uto-Aztecan,B008,0.0156,,1860,,Note Binford (2001) gives density as 0.0187 persons per km2
B24,Ket,xd636,kett1243,Ket,Yeniseian,B008,0.016,,1900,,
B194,Coahuilteco,xd1221,coah1252,Coahuilteco,,B008,0.0161,,1715,,Note Binford (2001) gives density as 0.0168 persons per km2
B386,Baffin Island Inuit,xd1030,baff1240,North Baffin Inuktitut,Eskimo-Aleut,B008,0.0162,,1880,,Note Binford (2001) gives density as 0.0126 persons per km2
B221,Tubaduka,xd1175,west2622,Western Shoshoni,Uto-Aztecan,B008,0.0164,,1860,,
B44,Yuqui,xd918,yuqu1240,Yuqui,Tupian,B008,0.0167,,1968,,
B214,Gosiute,xd1183,gosi1242,Gosiute,Uto-Aztecan,B008,0.0168,,1860,,
B356,Kutchin,xd1037,gwic1235,Gwich'in,Athabaskan-Eyak-Tlingit,B008,0.017,,1880,,
B260,Sarcee,xd1226,sars1236,Sarsi,Athabaskan-Eyak-Tlingit,B008,0.0175,,1880,,
B335,Round Lake Ojibwa,xd1003,seve1241,Severn River Ojibwa,Algic,B008,0.0175,,1900,,
B351,Hän,xd1008,hann1241,Han,Athabaskan-Eyak-Tlingit,B008,0.0182,,1880,,
B233,Wiyambituka,xd1170,west2622,Western Shoshoni,Uto-Aztecan,B008,0.0183,,1860,,
B373,Great Whale Inuit,xd1017,queb1248,Nunavik,Eskimo-Aleut,B008,0.0186,,1890,,
B51,Tehuelche,xd1386,tehu1242,Tehuelche,Chonan,B008,0.0189,,1870,,
B121,Diyari,xd779,dier1241,Dieri,Pama-Nyungan,B008,0.0193,,1900,,
B116,Karuwali,xd963,karr1236,Karruwali,Pama-Nyungan,B008,0.02,,1900,,
B203,Kawich Mountain Shoshoni,xd988,west2622,Western Shoshoni,Uto-Aztecan,B008,0.02,,1860,,
B250,Kutenai,xd1205,kute1249,Kutenai,,B008,0.0202,,1880,,
B195,Tümpisa Shoshone (Panamint),xd1166,pana1305,Panamint,Uto-Aztecan,B008,0.0212,,1850,,
B357,Deg Xit'an,xd1066,dege1248,Degexit'an,Athabaskan-Eyak-Tlingit,B008,0.0217,,1880,,Note Binford (2001) gives density as 0.0271 persons per km2
B375,Noatak Inuit,xd1018,nort2945,Seward Alaska Inupiatun,Eskimo-Aleut,B008,0.022,,1900,,
B252,Bannock,xd1200,bann1248,Bannock,Uto-Aztecan,B008,0.0231,,1860,,
B200,Tümpisa Shoshone (Saline),xd1166,pana1305,Panamint,Uto-Aztecan,B008,0.0232,,1860,,
B241,Comanche,xd1222,coma1245,Comanche,Uto-Aztecan,B008,0.0233,,1870,,
B79,/Xam,xd8,xamm1241,/Xam,Tuu,B008,0.0243,,,,
B255,Piegan,xd1217,pieg1239,Piegan,Algic,B008,0.0254,,1850,,
B222,Southern Ute,xd1152,utee1244,Ute,Uto-Aztecan,B008,0.026,,1860,,
B124,Northern Aranda,xd772,east2379,Eastern Arrernte,Pama-Nyungan,B008,0.0267,,1900,,
B370,Kobuk Inuit,xd1015,kobu1239,Kobuk River Inupiatun,Eskimo-Aleut,B008,0.0267,,1890,,
B258,Plains Cree,xd1218,plai1258,Plains Cree,Algic,B008,0.0274,,1850,,
B372,Labrador Inuit,xd1039,labr1244,North Labrador Eskimo,Eskimo-Aleut,B008,0.0278,,1890,,
B254,Bungi,xd1213,west1510,Western Ojibwa,Algic,B008,0.0279,,1850,,
B67,Hukwe,xd929,kxoe1243,Kxoe,Khoe-Kwadi,B008,0.0288,,1950,,
B74,G/wi,xd932,gwii1239,/Gwi,Khoe-Kwadi,B008,0.0293,,1962,,
B213,Hukundika,xd1185,nort2955,Northern Shoshoni,Uto-Aztecan,B008,0.0296,,1870,,
B334,Pekangekum,xd1050,lacs1238,Lac Seul Ojibwa,Algic,B008,0.0308,,1940,,
B328,Katikitegon,xd1054,uppe1274,Upper Michigan-Wisconsin Chippewa,Algic,B008,0.0309,,1800,,
B257,Assiniboine,xd1210,assi1247,Assiniboine,Siouan,B008,0.0321,,1870,,
B253,Gros Ventre,xd1208,gros1243,Gros Ventre,Algic,B008,0.0337,,1870,,
B201,Antarianunts,xd1184,utee1244,Ute,Uto-Aztecan,B008,0.0344,,1860,,
B209,Timponogas,xd991,utee1244,Ute,Uto-Aztecan,B008,0.0346,,1860,,
B256,Blackfoot,xd1211,pieg1239,Piegan,Algic,B008,0.0346,,1850,,
B47,Aché,xd920,ache1246,Aché,Tupian,B008,0.0348,,1975,,
B206,Tunava (Deep Springs),xd1162,mono1275,Mono (USA),Uto-Aztecan,B008,0.0354,,1860,,
B78,//Xegwi,xd936,xegw1238,//Xegwi,Tuu,B008,0.0357,,1950,,
B204,Southern Paiute (Kaibab and Las Vegas),xd1189,sout2969,Southern Paiute,Uto-Aztecan,B008,0.0371,,1860,,
B104,Karajarri,xd953,kara1476,Karadjeri,Pama-Nyungan,B008,0.0375,,,,
B378,Inuvialuit,xd1019,sigl1242,Siglitun,Eskimo-Aleut,B008,0.0385,,1910,,
B68,Hai//om,xd930,haio1238,Hai//om,Khoe-Kwadi,B008,0.0385,,1920,,
B198,Hualapai,xd1202,wala1270,Walapai,Cochimi-Yuman,B008,0.0386,,1870,,
