society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
B387,Netsilik,xd1060,nets1241,Natsilingmiutut,Eskimo-Aleut,AnnualMeanTemperature,-19.45015428,,,,
Na22,Iglulik Inuit,xd1025,west2618,Western Canadian Inuktitut,Eskimo-Aleut,AnnualMeanTemperature,-19.31389846,,,,
B384,Iglulik Inuit,xd1025,west2618,Western Canadian Inuktitut,Eskimo-Aleut,AnnualMeanTemperature,-18.69225587,,,,
B390,Inughuit (Northern Greenland),xd1031,pola1254,Polar Eskimo,Eskimo-Aleut,AnnualMeanTemperature,-18.44551926,,,,
Na14,Inughuit (Northern Greenland),xd1031,pola1254,Polar Eskimo,Eskimo-Aleut,AnnualMeanTemperature,-18.25140013,,,,
Na43,Netsilik,xd1060,nets1241,Natsilingmiutut,Eskimo-Aleut,AnnualMeanTemperature,-16.8391754,,,,
B27,Nganasan,xd620,ngan1291,Nganasan,Uralic,AnnualMeanTemperature,-16.3757,,,,
B26,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,AnnualMeanTemperature,-16.26371541,,,,
Ec6,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,AnnualMeanTemperature,-16.26371541,,,,
B383,Aivilingmiut Inuit,xd1024,cari1277,Kivalliq,Eskimo-Aleut,AnnualMeanTemperature,-15.88026864,,,,
B382,Utkuhikhalingmiut,xd1023,nets1241,Natsilingmiutut,Eskimo-Aleut,AnnualMeanTemperature,-15.74790028,,,,
B386,Baffin Island Inuit,xd1030,baff1240,North Baffin Inuktitut,Eskimo-Aleut,AnnualMeanTemperature,-15.67879864,,,,
Na13,Baffin Island Inuit,xd1030,baff1240,North Baffin Inuktitut,Eskimo-Aleut,AnnualMeanTemperature,-15.67879864,,,,
B381,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,AnnualMeanTemperature,-15.33275202,,,,
Na3,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,AnnualMeanTemperature,-14.92022168,,,,
ec12,Nganasan,xd620,ngan1291,Nganasan,Uralic,AnnualMeanTemperature,-14.78078659,,,,
SCCS124,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,AnnualMeanTemperature,-14.2963464,,,,
SCCS120,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,AnnualMeanTemperature,-14.06655602,,,,
B28,Ungazikmit,xd622,cent2128,Central Siberian Yupik,Eskimo-Aleut,AnnualMeanTemperature,-13.922147,,,,
SCCS121,Chukchi,xd631,chuk1273,Chukchi,Chukotko-Kamchatkan,AnnualMeanTemperature,-13.53160257,,,,
B374,Caribou Inuit,xd1038,cari1277,Kivalliq,Eskimo-Aleut,AnnualMeanTemperature,-13.45039976,,,,
Ec3,Chukchi,xd631,chuk1273,Chukchi,Chukotko-Kamchatkan,AnnualMeanTemperature,-12.53404682,,,,
Ec2,Yakut,xd628,yaku1245,Sakha,Turkic,AnnualMeanTemperature,-12.31637017,,,,
ec14,Ungazikmit,xd622,cent2128,Central Siberian Yupik,Eskimo-Aleut,AnnualMeanTemperature,-12.02872618,,,,
B389,Tareumiut,xd1036,nort2944,North Slope Inupiatun,Eskimo-Aleut,AnnualMeanTemperature,-11.99799912,,,,
Na2,Tareumiut,xd1036,nort2944,North Slope Inupiatun,Eskimo-Aleut,AnnualMeanTemperature,-11.67232577,,,,
B378,Inuvialuit,xd1019,sigl1242,Siglitun,Eskimo-Aleut,AnnualMeanTemperature,-11.59905217,,,,
Na44,Taqagmiut,xd1061,queb1248,Nunavik,Eskimo-Aleut,AnnualMeanTemperature,-11.35028534,,,,
B377,Nunamiut,xd1029,nort2944,North Slope Inupiatun,Eskimo-Aleut,AnnualMeanTemperature,-11.09058459,,,,
B375,Noatak Inuit,xd1018,nort2945,Seward Alaska Inupiatun,Eskimo-Aleut,AnnualMeanTemperature,-11.08981488,,,,
Na21,Caribou Inuit,xd1038,cari1277,Kivalliq,Eskimo-Aleut,AnnualMeanTemperature,-10.95805886,,,,
Na12,Nunamiut,xd1029,nort2944,North Slope Inupiatun,Eskimo-Aleut,AnnualMeanTemperature,-10.89454201,,,,
Na25,Kalaallit (West Greenland),xd1041,kala1399,Kalaallisut,Eskimo-Aleut,AnnualMeanTemperature,-10.64720051,,,,
Ee2,Burusho,xd654,buru1296,Burushaski,,AnnualMeanTemperature,-10.53533643,,,,
B385,Kalaallit (West Greenland),xd1041,kala1399,Kalaallisut,Eskimo-Aleut,AnnualMeanTemperature,-10.43411906,,,,
B388,Tasiilaq,xd1040,tunu1234,Tunumiisiut,Eskimo-Aleut,AnnualMeanTemperature,-10.42769085,,,,
SCCS64,Burusho,xd654,buru1296,Burushaski,,AnnualMeanTemperature,-10.22371022,,,,
B354,Koyukon,xd1010,koyu1237,Koyukon,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-10.08955299,,,,
B352,Hare,xd1009,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-9.944382039,,,,
Ec5,Koryak,xd633,kory1246,Koryak,Chukotko-Kamchatkan,AnnualMeanTemperature,-9.890587823,,,,
B370,Kobuk Inuit,xd1015,kobu1239,Kobuk River Inupiatun,Eskimo-Aleut,AnnualMeanTemperature,-9.308506725,,,,
Ec4,Yurak-Samoyeds,xd632,nene1249,Tundra Nenets,Uralic,AnnualMeanTemperature,-9.23623532,,,,
Na24,Tasiilaq,xd1040,tunu1234,Tunumiisiut,Eskimo-Aleut,AnnualMeanTemperature,-9.230238786,,,,
B358,Délįne,xd1033,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-8.983623903,,,,
B380,Inupiat,xd1021,nort2944,North Slope Inupiatun,Eskimo-Aleut,AnnualMeanTemperature,-8.948152355,,,,
B371,Kotzebue Sound Inuit,xd1016,kotz1238,Kotzebue Sound Inupiatun,Eskimo-Aleut,AnnualMeanTemperature,-8.778820795,,,,
B363,Tutchone,xd1012,nort2941,Northern Tutchone,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-8.481105344,,,,
Na23,Labrador Inuit,xd1039,labr1244,North Labrador Eskimo,Eskimo-Aleut,AnnualMeanTemperature,-8.422747865,,,,
Na16,Délįne,xd1033,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-8.388713701,,,,
B356,Kutchin,xd1037,gwic1235,Gwich'in,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-7.850478141,,,,
B361,Tlicho,xd1032,dogr1252,Dogrib,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-7.530918115,,,,
Na20,Kutchin,xd1037,gwic1235,Gwich'in,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-7.523481987,,,,
ec16,Evenk,xd624,even1259,Evenki,Tungusic,AnnualMeanTemperature,-7.410417549,,,,
B372,Labrador Inuit,xd1039,labr1244,North Labrador Eskimo,Eskimo-Aleut,AnnualMeanTemperature,-7.259719601,,,,
Na26,Dena'ina,xd1042,tana1289,Tanaina,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-7.169807959,,,,
B351,Hän,xd1008,hann1241,Han,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-7.012537009,,,,
Na5,Naskapi,xd1063,nask1242,Naskapi,Algic,AnnualMeanTemperature,-6.740412538,,,,
Na1,Nabesna,xd1026,uppe1437,Upper Tanana,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-6.710847761,,,,
B359,Nabesna,xd1026,uppe1437,Upper Tanana,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-6.455171957,,,,
Na15,Tlicho,xd1032,dogr1252,Dogrib,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-6.226437559,,,,
B365,Naskapi,xd1063,nask1242,Naskapi,Algic,AnnualMeanTemperature,-5.708570795,,,,
B369,Norton Sound Inuit,xd1014,kusk1241,General Central Yup'ik,Eskimo-Aleut,AnnualMeanTemperature,-5.670520932,,,,
B373,Great Whale Inuit,xd1017,queb1248,Nunavik,Eskimo-Aleut,AnnualMeanTemperature,-5.624499826,,,,
B362,Dena'ina,xd1042,tana1289,Tanaina,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-5.478196827,,,,
ec17,Negidal,xd625,negi1245,Negidal,Tungusic,AnnualMeanTemperature,-5.450823497,,,,
ec19,Orok,xd627,orok1265,Orok,Tungusic,AnnualMeanTemperature,-5.380600751,,,,
B350,Mountain Dene,xd1007,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-5.335783211,,,,
SCCS129,Kaska,xd1056,kask1239,Kaska,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-5.328890959,,,,
Na30,Dene,xd1046,chip1261,Chipewyan,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-5.323807155,,,,
B379,Sivokamiut Inuit,xd1028,cent2128,Central Siberian Yupik,Eskimo-Aleut,AnnualMeanTemperature,-5.241009663,,,,
Na11,Sivokakmeit,xd1028,cent2128,Central Siberian Yupik,Eskimo-Aleut,AnnualMeanTemperature,-5.241009663,,,,
B297,Chugach,xd1027,chug1254,Chugach,Eskimo-Aleut,AnnualMeanTemperature,-5.21462063,,,,
B24,Ket,xd636,kett1243,Ket,Yeniseian,AnnualMeanTemperature,-5.140265806,,,,
Ec8,Ket,xd636,kett1243,Ket,Yeniseian,AnnualMeanTemperature,-5.140265806,,,,
B347,Tahltan,xd1043,tahl1239,Tahltan,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-5.13598167,,,,
B364,Holikachuk,xd1013,holi1241,Holikachuk,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-4.925037611,,,,
Ee4,Tibetans,xd656,tibe1272,Tibetan,Sino-Tibetan,AnnualMeanTemperature,-4.779496479,,,,
SCCS53,Yurak-Samoyeds,xd632,nene1249,Tundra Nenets,Uralic,AnnualMeanTemperature,-4.752981222,,,,
SCCS122,Deg Xit'an,xd1066,dege1248,Degexit'an,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-4.229181705,,,,
B355,Dene,xd1046,chip1261,Chipewyan,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-4.124586251,,,,
Na4,Kaska,xd1056,kask1239,Kaska,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-3.958219382,,,,
B357,Deg Xit'an,xd1066,dege1248,Degexit'an,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-3.860272428,,,,
Na8,Deg Xit'an,xd1066,dege1248,Degexit'an,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-3.836284837,,,,
B23,Orogens,xd915,oroq1238,Oroqen,Tungusic,AnnualMeanTemperature,-3.779300772,,,,
Na27,Tahltan,xd1043,tahl1239,Tahltan,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-3.674496641,,,,
B346,Kaska,xd1056,kask1239,Kaska,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-3.609410235,,,,
SCCS66,Khalka,xd611,halh1238,Halh Mongolian,Mongolic,AnnualMeanTemperature,-3.590068385,,,,
Ec10,Ob Ostyak,xd618,khan1273,Kazym-Berezover-Suryskarer Khanty,Uralic,AnnualMeanTemperature,-3.543457333,,,,
ec13,Itelmen,xd621,itel1242,Itelmen,Chukotko-Kamchatkan,AnnualMeanTemperature,-3.525739811,,,,
WNAI6,Gitxsan,xd998,gitx1241,Gitxsan,Tsimshian,AnnualMeanTemperature,-3.436444997,,,,
B345,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-3.418566588,,,,
WNAI1,North Tlingit,xd1431,tlin1245,Tlingit,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-3.366562512,,,,
SCCS128,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,AnnualMeanTemperature,-3.308620135,,,,
