society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
B65,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,B041,39.8,,1930,,
B13,Agta (Isabela),xd907,agta1234,Agta-Pahanan,Austronesian,B041,41,,1979,,
B72,!Kung,xd1,juho1239,South-Eastern Ju,Kxa,B041,42.5,,1950,,
B64,Efe,xd927,efee1239,Efe,Central Sudanic,B041,43.1,,1980,,
B5,Onge,xd902,onge1236,Önge,Jarawa-Onge,B041,43.5,,1952,,"Note, for this society, Binford provided two estimates (43.5, 44.5); this entry is one of those estimates"
B12,Agta (Casiguran),xd906,casi1235,Casiguran-Nagtipunan Agta,Austronesian,B041,44,,1965,,
B5,Onge,xd902,onge1236,Önge,Jarawa-Onge,B041,44.5,,1952,,"Note, for this society, Binford provided two estimates (43.5, 44.5); this entry is one of those estimates"
B60,Aka,xd923,bamb1264,Bambenzele,Atlantic-Congo,B041,45.1,,1980,,
B61,Bayaka,xd924,beka1240,Beka,Atlantic-Congo,B041,46.4,,1976,,
B2,Palawan Batak,xd900,bata1301,Batak,Austronesian,B041,46.5,,1968,,
B16,Mlabri,xd909,mlab1235,Mlabri,Austroasiatic,B041,48.8,,1963,,
B63,Baka,xd926,baka1272,Baka (Cameroon),Atlantic-Congo,B041,49.5,,1980,,
B72,!Kung,xd1,juho1239,South-Eastern Ju,Kxa,B041,50.4,,1950,,
B1,Punan,xd1442,west2563,Western Penan,Austronesian,B041,52.9,,1970,Busang Punan,
B4,Shompen,xd901,shom1245,Shom Peng,,B041,55.3,,1989,,"Note, for this society, Binford provided two estimates (60.5, 55.3); this entry is one of those estimates"
B84,Gunwinygu,xd939,gunw1252,Bininj Kun-Wok,Gunwinyguan,B041,55.3,,1978,,
B109,Walbiri,xd773,warl1254,Warlpiri,Pama-Nyungan,B041,56.7,,1965,,
B39,Guahibo,xd1347,guah1255,Guahibo,Guahiboan,B041,57.8,,1960,,
B88,"Yolngu, Dhuwal",xd777,dhuw1249,Dhuwal,Pama-Nyungan,B041,59.2,,1930,,
B47,Aché,xd920,ache1246,Aché,Tupian,B041,59.6,,1975,,
B4,Shompen,xd901,shom1245,Shom Peng,,B041,60.5,,1989,,"Note, for this society, Binford provided two estimates (60.5, 55.3); this entry is one of those estimates"
B386,Baffin Island Inuit,xd1030,baff1240,North Baffin Inuktitut,Eskimo-Aleut,B041,62.1,,1880,,
B390,Inughuit (Northern Greenland),xd1031,pola1254,Polar Eskimo,Eskimo-Aleut,B041,63.5,,1880,,
B28,Ungazikmit,xd622,cent2128,Central Siberian Yupik,Eskimo-Aleut,B041,64.2,,1860,,
B371,Kotzebue Sound Inuit,xd1016,kotz1238,Kotzebue Sound Inupiatun,Eskimo-Aleut,B041,64.3,,1880,,
B271,Twana,xd1079,twan1247,Twana,Salishan,B041,64.4,,1850,,
B379,Sivokamiut Inuit,xd1028,cent2128,Central Siberian Yupik,Eskimo-Aleut,B041,64.4,,1920,,
B384,Iglulik Inuit,xd1025,west2618,Western Canadian Inuktitut,Eskimo-Aleut,B041,65.3,,1920,,
B389,Tareumiut,xd1036,nort2944,North Slope Inupiatun,Eskimo-Aleut,B041,65.3,,1880,Barrow Tareumiut,
B361,Tlicho,xd1032,dogr1252,Dogrib,Athabaskan-Eyak-Tlingit,B041,66.6,,1860,,
B250,Kutenai,xd1205,kute1249,Kutenai,,B041,67.8,,1880,,
B389,Tareumiut,xd1036,nort2944,North Slope Inupiatun,Eskimo-Aleut,B041,69.7,,1880,Barrow Tareumiut,
B341,Wegamon Ojibwa,xd1006,seve1241,Severn River Ojibwa,Algic,B041,70.3,,1890,,
B196,Yavapai,xd1203,yava1252,Yavapai,Cochimi-Yuman,B041,71,,1870,,
